0	33	0,1,2,3,4,5,6,7,8,10,11,12,13,17,19,21,31,30,9,27,28,32,16,33,24,25,23,14,15,18,20,22,29,26;
0.7	29.4	0,1,2,3,5,6,7,8,10,13,31,27,32,33,25,23,20,29;4;11;12;17;19;21;30;9;28;16;24;14;15;18;22;26;
1.4	24.84	0,31,33,24,25;1,2,3,7,13,32,23,20;4,5,6,10,16;8,30;11;12;17;19;21;9;27;28;14;15;18;22;29,26;
2.1	18.6	0,2,8,11;1,13,33;3,7,12;4;5,6,10;17;19;21;31,25;30;27,24;28;32,23,14,29;16;15;20;22;9;18;26;
2.8	10.65	0,4;1,3,7;2,8;5,6,16;11;13,33;12;10;30;32,31,25;27,24;23,29;15;22;14;20;26;17;19;21;28;9;18;
3.5	7.5	0;1,7;2,8;3;4;5,6;11;13;12;10;16;33,31;30;32,23;27;15;22;14;20;29,26;25;24;17;19;21;28;9;18;
4.2	2.55	0;1,13;2,8;7;33,32;31;27;23,25;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.9	0.950001	0;2,8;1,13;7;33,32;23,25;31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.6	0.36	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.3	0.116667	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
7	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
