0	0	0,1,2,3,4,5,6,7,8,10,11,12,13,17,19,21,31,30,9,27,28,32,16,33,24,25,23,14,15,18,20,22,29,26;
0.07	33.81	0,1,2,3,4,5,6,7,8,10,11,12,13,17,19,21,31,30,9,27,28,32,16,33,24,25,23,14,15,18,20,22,29,26;
0.14	48.92	0,1,2,3,4,5,6,7,10,11,12,13,17,19,21,16;8,31,30,27,28,32,33,24,25,23,14,15,18,20,22,29,26;9;
0.21	60.47	0,1,2,3,7,11,12,13,17,19,21;4,5,6,10,16;8,31,30,27,28,32,33,24,25,23,14,15,20,22,29,26;9;18;
0.28	67.76	0,1,2,3,7,11,12,13,17,19,21;4,5,6,10,16;8,31,30,27,32,33,24,25,23,14,15,20,22,29,26;9;28;18;
0.35	72.65	0,1,2,3,7,12,13,19,21;4,5,6,10,16;8,31,30,27,32,33,24,25,23,14,15,22,29,26;11;17;9;28;18;20;
0.42	76.28	0,1,2,3,7,12,13,19,21;4,5,6,10,16;8,31,30,27,32,33,24,25,23,15,29,26;11;17;9;28;14;18;20;22;
0.49	78.66	0,1,2,3,7,12,13,19,21;4,5,6,10,16;8,31,30,27,32,33,24,25,23,15,29,26;11;17;9;28;14;18;20;22;
0.56	80.36	0,1,2,3,7,13,19,21;4,5,6,10,16;8,31,30,27,32,33,24,25,23,15;11;12;17;9;28;14;18;20;22;29,26;
0.63	80.37	0,1,2,3,7,13,21;4,5,6,10,16;8,31,30,27,32,33,24,25,23,15;11;12;17;19;9;28;14;18;20;22;29,26;
0.7	80.1	0,1,2,3,7,13;4,5,6,10,16;8,31,30,27,32,33,24,25,23,15;11;12;17;19;21;9;28;14;18;20;22;29,26;
0.77	79.06	0,1,2,3,7,13;4,5,6,10,16;8,30,27,32,33,23,15,29;11;12;17;19;21;31,24,25;9;28;14;18;20;22;26;
0.84	77.44	0,1,2,3,7,13;4,10;5,6,16;8,30,27,32,33,23,15;11;12;17;19;21;31,24,25;9;28;14;18;20;22;29,26;
0.91	75.06	0,1,2,3,7,13;4,10;5,6,16;8,30,27,32,33,23,15;11;12;17;19;21;31,24,25;9;28;14;18;20;22;29,26;
0.98	72.68	0,1,2,3,7,13;4,10;5,6,16;8,30,27,32,33,23,15;11;12;17;19;21;31,24,25;9;28;14;18;20;22;29,26;
1.05	70.6	0,1,2,3,7,13;4,10;5,6,16;8,30,27,32,33,23,15;11;17;19;21;31,24,25;28;12;14;20;22;29,26;9;18;
1.12	68.64	0,1,2,3,7,13;4,10;5,6,16;8,30,27,32,33,23,15;11;17;19;21;31,24,25;28;12;14;20;22;29,26;9;18;
1.19	66.54	0,1,2,3,7,13;4,10;5,6,16;8,30,27,32,33,23;11;17;19;21;31,24,25;28;12;14;15;20;22;29,26;9;18;
1.26	64.16	0,1,2,3,7,13;4,10;5,6,16;8,30,27,32,33,23;11;17;19;21;31,24,25;28;12;14;15;20;22;29,26;9;18;
1.33	61.78	0,1,2,3,7,13;4,10;5,6,16;8,30,27,32,33,23;11;17;19;21;31,24,25;28;12;14;15;20;22;29,26;9;18;
1.4	59.4	0,1,2,3,7,13;4,10;5,6,16;8,30,27,32,33,23;11;17;19;21;31,24,25;28;12;14;15;20;22;29,26;9;18;
1.47	57.02	0,1,2,3,7,13;4,10;5,6,16;8,30,27,32,33,23;11;17;19;21;31,24,25;28;12;14;15;20;22;29,26;9;18;
1.54	54.4	0,1,2,3,7,13;4,10;5,6,16;8,30,32,33,23;11;17;19;21;31,25;27,24;28;12;14;15;20;22;29,26;9;18;
1.61	51.6	0,1,2,3,7,13;4,10;5,6,16;8,30,32,33,23;11;17;19;21;31,25;27,24;28;12;14;15;20;22;29,26;9;18;
1.68	48.8	0,1,2,3,7,13;4,10;5,6,16;8,30;11;17;19;21;31,32,33,25,23;27,24;28;12;14;15;20;22;29,26;9;18;
1.75	46	0,1,2,3,7,13;4,10;5,6,16;8,30,32,33,23;11;17;19;21;31,25;27,24;28;12;14;15;20;22;29,26;9;18;
1.82	43.2	0,1,2,3,7,13;4,10;5,6,16;8,30,32,33,23;11;17;19;21;31,25;27,24;28;12;14;15;20;22;29,26;9;18;
1.89	40.4	0,1,2,3,7,13;4,10;5,6,16;8,30,32,33,23;11;17;19;21;31,25;27,24;28;12;14;15;20;22;29,26;9;18;
1.96	37.6	0,1,2,3,7,13;4,10;5,6,16;8,30,32,33,23;11;17;19;21;31,25;27,24;28;12;14;15;20;22;29,26;9;18;
2.03	35.4	0,1,2,3,13,7;4,10;5,6,16;11;8,33,30,32;12;31,25;27,23;15;22;14;20;29,26;24;17;19;21;28;9;18;
2.1	34	0,1,2,3,13,7;4,10;5,6,16;11;8,33,30,32;12;31,25;27,23;15;22;14;20;29,26;24;17;19;21;28;9;18;
2.17	32.6	0,1,2,3,13,7;4,10;5,6,16;11;8,30;12;33,32,27,23;31,25;15;22;14;20;29,26;24;17;19;21;28;9;18;
2.24	31.2	0,1,2,3,13,7;4,10;5,6,16;11;8,30;12;33,32,27,23;31,25;15;22;14;20;29,26;24;17;19;21;28;9;18;
2.31	29.8	0,1,2,3,13,7;4,10;5,6,16;11;8,30;12;33,32,23,29;31,25;27,24;15;22;14;20;26;17;19;21;28;9;18;
2.38	28.4	0,1,2,3,13,7;4,10;5,6,16;11;8,30;12;33,32,23,29;31,25;27,24;15;22;14;20;26;17;19;21;28;9;18;
2.45	27	0,1,2,3,13,7;4,10;5,6,16;11;8,33,30,32;12;31,25;27,23;15;22;14;20;29,26;24;17;19;21;28;9;18;
2.52	25.56	0,1,2,3,13,7;4,10;5,6,16;11;8,30;12;33,32,23;31,25;27,24;15;22;14;20;29,26;17;19;21;28;9;18;
2.59	24.02	0,1,2,3,13,7;4,10;5,6,16;11;8,30;12;33,32,23;31,25;27,24;15;22;14;20;29,26;17;19;21;28;9;18;
2.66	22.18	0,1,2,3,13;4,10;5,6,16;11;7;8,30;12;33,32,23;31,25;27,24;15;22;14;20;29,26;17;19;21;28;9;18;
2.73	20.29	0,1,2,3,13;4,10;5,6,16;11;7;8,30;12;33,32,23;31,25;27,24;15;22;14;20;29,26;17;19;21;28;9;18;
2.8	18.4	0,1,2,3,13;4,10;5,6,16;11;7;8,30;12;33,32,23;31,25;27,24;15;22;14;20;29,26;17;19;21;28;9;18;
2.87	16.51	0,1,2,3,13;4,10;5,6,16;11;7;8,30;12;33,32,23;31,25;27,24;15;22;14;20;29,26;17;19;21;28;9;18;
2.94	14.62	0,1,2,3,13;4,10;5,6,16;11;7;8,30;12;33,32,23;31,25;27,24;15;22;14;20;29,26;17;19;21;28;9;18;
3.01	12.91	0,1,2,13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.08	12.28	0,1,2,13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.15	11.65	0,1,2,13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.22	11.02	0,1,2,13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.29	10.39	0,1,2,13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.36	9.76	0,1,2,13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.43	9.13	0,1,2,13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.5	8.5	0,1,2,13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.57	7.87	0,1,2,13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.64	7.24	0,1,2,13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.71	6.48	0,1,2;13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.78	5.64	0,1,2;13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.85	4.8	0,1,2;13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.92	3.96	0,1,2;13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
3.99	3.12	0,1,2;13;7;8;33,32,23;31,25;27;15;29,26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.06	2.94	0,2,1;8;13;7;33,32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.13	2.87	0,2,1;8;13;7;33,32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.2	2.8	0,2,1;8;13;7;33,32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.27	2.73	0,2,1;8;13;7;33,32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.34	2.66	0,2,1;8;13;7;33,32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.41	2.59	0,2,1;8;13;7;33,32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.48	2.52	0,2,1;8;13;7;33,32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.55	2.25	0;2,1;8;13;7;33;32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.62	1.9	0;2,1;8;13;7;33;32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.69	1.55	0;2,1;8;13;7;33;32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.76	1.2	0;2,1;8;13;7;33;32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.83	0.85	0;2,1;8;13;7;33;32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.9	0.5	0;2,1;8;13;7;33;32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
4.97	0.15	0;2,1;8;13;7;33;32,23;25,31;27;15;29;26;3;4;5,6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.04	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.11	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.18	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.25	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.32	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.39	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.46	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.53	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.6	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.67	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.74	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.81	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.88	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
5.95	0	0;2,1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.02	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.09	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.16	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.23	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.3	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.37	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.44	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.51	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.58	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.65	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.72	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
6.79	0	0;2;1;8;13;7;33;32;23;25,31;27;15;29;26;3;4;5;6;11;12;10;16;30;22;14;20;24;17;19;21;28;9;18;
